epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,748.995,3.56016,5.20822,1.11937,0.00488,0.00342,0.00279,0.001,3.4508,5.17277,1.0423,7.22432e-05,7.22432e-05,7.22432e-05
46,764.222,3.74053,5.21926,1.1166,0.00488,0.00342,0.00279,0.001,3.4508,5.17277,1.0423,7.0976e-05,7.0976e-05,7.0976e-05
47,780.62,3.60466,5.20283,1.13886,0.01675,0.00591,0.00931,0.00517,3.38248,5.08825,1.03404,6.97088e-05,6.97088e-05,6.97088e-05
48,798.152,3.7764,5.19846,1.13474,0.01675,0.00591,0.00931,0.00517,3.38248,5.08825,1.03404,6.84416e-05,6.84416e-05,6.84416e-05
49,812.945,3.70381,5.17254,1.1151,0.01724,0.00774,0.01027,0.00467,3.33967,5.00909,1.03135,6.71744e-05,6.71744e-05,6.71744e-05
50,830.079,3.59101,5.10742,1.10914,0.01724,0.00774,0.01027,0.00467,3.33967,5.00909,1.03135,6.59072e-05,6.59072e-05,6.59072e-05
51,847.564,3.99075,5.16732,1.12431,0.01724,0.00774,0.01027,0.00467,3.33967,5.00909,1.03135,6.464e-05,6.464e-05,6.464e-05
52,863.739,3.78828,5.14931,1.11202,0.01387,0.01208,0.00954,0.00372,3.30311,4.92698,1.02818,6.33728e-05,6.33728e-05,6.33728e-05
53,880.148,3.51661,5.05865,1.09582,0.01387,0.01208,0.00954,0.00372,3.30311,4.92698,1.02818,6.21056e-05,6.21056e-05,6.21056e-05
54,895.218,3.72683,5.10827,1.10253,0.01387,0.01208,0.00954,0.00372,3.30311,4.92698,1.02818,6.08384e-05,6.08384e-05,6.08384e-05
55,910.944,3.64551,5.05495,1.10239,0.01205,0.01563,0.0102,0.00407,3.27725,4.84584,1.02498,5.95712e-05,5.95712e-05,5.95712e-05
56,926.859,3.56965,5.03323,1.11593,0.01205,0.01563,0.0102,0.00407,3.27725,4.84584,1.02498,5.8304e-05,5.8304e-05,5.8304e-05
57,942.312,3.75998,5.08106,1.11616,0.01137,0.01691,0.01112,0.00453,3.25685,4.77158,1.02185,5.70368e-05,5.70368e-05,5.70368e-05
58,957.77,3.66239,5.00215,1.08643,0.01137,0.01691,0.01112,0.00453,3.25685,4.77158,1.02185,5.57696e-05,5.57696e-05,5.57696e-05
59,972.227,3.50222,5.00851,1.08922,0.01137,0.01691,0.01112,0.00453,3.25685,4.77158,1.02185,5.45024e-05,5.45024e-05,5.45024e-05
60,988.678,3.64602,4.9874,1.1085,0.00992,0.01879,0.01143,0.00513,3.23337,4.70035,1.01778,5.32352e-05,5.32352e-05,5.32352e-05
61,1004.55,3.60569,4.95332,1.07866,0.00992,0.01879,0.01143,0.00513,3.23337,4.70035,1.01778,5.1968e-05,5.1968e-05,5.1968e-05
62,1019.99,3.68331,4.99268,1.10859,0.00992,0.01879,0.01143,0.00513,3.23337,4.70035,1.01778,5.07008e-05,5.07008e-05,5.07008e-05
